order_id,order_date,customer_id,product_id,quantity,selling_price,discount,returned,product_name,category,sub_category,cost_price,customer_name,city,state,region,revenue,cost,profit,profit_margin,order_year,order_month,month_name,order_quarter,return_flag,customer_type
O000021,2025-04-23,C00797,P0468,1,16392.19,0.25,No,Dinner Set 468,Home & Kitchen,Kitchen & Home,13181.28,Kavya Yadav,Bhubaneswar,Odisha,East,12294.14,13181.28,-887.14,-7.22,2025,4,April,Q2,0,Returning Customer
O000022,2025-09-23,C08864,P0452,2,15438.54,0.05,No,Mixer Grinder 452,Home & Kitchen,Kitchen & Home,11198.11,Riya Patel,Delhi,Delhi,North,29333.23,22396.22,6937.01,23.65,2025,9,September,Q3,0,Returning Customer
O000023,2025-11-11,C09189,P0441,2,17258.72,0.2,No,Perfume 441,Beauty,Personal Care,10877.96,Karan Rajput,Pune,Maharashtra,West,27613.95,21755.92,5858.03,21.21,2025,11,November,Q4,0,Returning Customer
O000024,2025-05-13,C08948,P0396,3,21587.05,0.2,No,Coffee Table 396,Furniture,Home Furniture,14525.55,Ankit Kumar,Lucknow,Uttar Pradesh,North,51808.92,43576.65,8232.27,15.89,2025,5,May,Q2,0,Returning Customer
O000025,2025-12-31,C03977,P0027,4,7328.74,0.2,No,Data Science Handbook 27,Books,Books,4703.02,Rahul Patel,Bengaluru,Karnataka,South,23451.97,18812.08,4639.89,19.78,2025,12,December,Q4,0,Returning Customer
O000026,2025-05-02,C00067,P0241,1,7162.63,0.1,No,Badminton Racket 241,Sports,Fitness,5826.86,Aman Yadav,Kolkata,West Bengal,East,6446.37,5826.86,619.51,9.61,2025,5,May,Q2,0,Returning Customer
O000027,2025-05-22,C04870,P0401,1,1395.4,0.25,No,Resistance Band 401,Sports,Fitness,958.26,Arjun Sharma,Kolkata,West Bengal,East,1046.55,958.26,88.29,8.44,2025,5,May,Q2,0,Returning Customer
O000028,2025-06-08,C04140,P0446,1,19589.73,0.0,No,Dinner Set 446,Home & Kitchen,Kitchen & Home,14454.99,Aditya Agarwal,Delhi,Delhi,North,19589.73,14454.99,5134.74,26.21,2025,6,June,Q2,0,Returning Customer
O000029,2025-03-29,C09528,P0464,2,14301.3,0.05,No,Kitchen Scale 464,Home & Kitchen,Kitchen & Home,11024.26,Aman Mishra,Mumbai,Maharashtra,West,27172.47,22048.52,5123.95,18.86,2025,3,March,Q1,0,Returning Customer
O000030,2025-12-01,C05626,P0146,1,2161.81,0.15,No,Backpack 146,Fashion,Clothing,1379.98,Ananya Gupta,Mumbai,Maharashtra,West,1837.54,1379.98,457.56,24.9,2025,12,December,Q4,0,Returning Customer
O000031,2025-12-19,C09307,P0056,1,2449.88,0.25,No,Keyboard 56,Electronics,Gadgets,1791.04,Sneha Verma,Mumbai,Maharashtra,West,1837.41,1791.04,46.37,2.52,2025,12,December,Q4,0,Returning Customer
O000032,2025-11-30,C05586,P0297,4,10275.22,0.05,Yes,Hoodie 297,Fashion,Clothing,7209.8,Aditya Mishra,Mumbai,Maharashtra,West,39045.84,28839.2,10206.64,26.14,2025,11,November,Q4,1,New Customer
O000033,2025-11-17,C08450,P0169,2,6371.73,0.2,No,Jeans 169,Fashion,Clothing,4027.64,Aman Singh,Mumbai,Maharashtra,West,10194.77,8055.28,2139.49,20.99,2025,11,November,Q4,0,Returning Customer
O000034,2025-11-07,C07571,P0416,2,17060.84,0.2,Yes,Air Fryer 416,Home & Kitchen,Kitchen & Home,11766.98,Rohan Yadav,Jaipur,Rajasthan,North,27297.34,23533.96,3763.38,13.79,2025,11,November,Q4,1,Returning Customer
O000035,2025-06-10,C05962,P0260,1,5180.16,0.05,Yes,Webcam 260,Electronics,Gadgets,3300.73,Isha Verma,Mumbai,Maharashtra,West,4921.15,3300.73,1620.42,32.93,2025,6,June,Q2,1,Returning Customer
O000036,2025-08-02,C08141,P0169,2,6371.73,0.2,No,Jeans 169,Fashion,Clothing,4027.64,Sahil Yadav,Mumbai,Maharashtra,West,10194.77,8055.28,2139.49,20.99,2025,8,August,Q3,0,Returning Customer
O000037,2025-06-08,C07815,P0270,5,7308.9,0.05,Yes,Smart Watch 270,Electronics,Gadgets,4577.65,Rahul Mishra,Mumbai,Maharashtra,West,34717.28,22888.25,11829.03,34.07,2025,6,June,Q2,1,Returning Customer
O000038,2025-12-22,C00639,P0251,1,6811.91,0.15,No,Power Bank 251,Electronics,Gadgets,5330.86,Rahul Rajput,Chandigarh,Chandigarh,North,5790.12,5330.86,459.26,7.93,2025,12,December,Q4,0,Returning Customer
O000039,2025-12-18,C01604,P0413,3,5144.6,0.15,Yes,Makeup Kit 413,Beauty,Personal Care,3733.29,Vikash Yadav,Kolkata,West Bengal,East,13118.73,11199.87,1918.86,14.63,2025,12,December,Q4,1,Returning Customer
O000040,2025-12-18,C01539,P0451,2,1110.87,0.05,No,Monitor 451,Electronics,Gadgets,835.83,Ankit Gupta,Hyderabad,Telangana,South,2110.65,1671.66,438.99,20.8,2025,12,December,Q4,0,Returning Customer
O000041,2025-11-17,C00419,P0329,1,753.43,0.2,No,Business Analytics 329,Books,Books,604.36,Aditi Gupta,Hyderabad,Telangana,South,602.74,604.36,-1.62,-0.27,2025,11,November,Q4,0,Returning Customer
O000042,2025-03-22,C06356,P0299,1,5417.11,0.05,No,Formal Shirt 299,Fashion,Clothing,4683.38,Vikash Verma,Mumbai,Maharashtra,West,5146.25,4683.38,462.87,8.99,2025,3,March,Q1,0,Returning Customer
O000043,2025-05-25,C08210,P0165,1,10707.08,0.05,No,Mixer Grinder 165,Home & Kitchen,Kitchen & Home,9012.41,Simran Sharma,Hyderabad,Telangana,South,10171.73,9012.41,1159.32,11.4,2025,5,May,Q2,0,Returning Customer
O000044,2025-06-24,C09632,P0310,1,18951.16,0.2,No,Data Science Handbook 310,Books,Books,12496.13,Priya Kumar,Pune,Maharashtra,West,15160.93,12496.13,2664.8,17.58,2025,6,June,Q2,0,Returning Customer
O000045,2025-04-06,C00709,P0373,1,12155.24,0.05,Yes,Lip Balm 373,Beauty,Personal Care,8390.44,Vikash Kumar,Patna,Bihar,East,11547.48,8390.44,3157.04,27.34,2025,4,April,Q2,1,Returning Customer
O000046,2025-04-11,C06433,P0162,1,8782.9,0.05,No,Dinner Set 162,Home & Kitchen,Kitchen & Home,5852.76,Ankit Sharma,Jaipur,Rajasthan,North,8343.75,5852.76,2490.99,29.85,2025,4,April,Q2,0,Returning Customer
O000047,2025-03-02,C05424,P0415,1,6493.51,0.15,No,Lip Balm 415,Beauty,Personal Care,4253.94,Aditi Singh,Lucknow,Uttar Pradesh,North,5519.48,4253.94,1265.54,22.93,2025,3,March,Q1,0,Returning Customer
O000048,2025-01-28,C09736,P0354,1,18988.97,0.05,No,Face Wash 354,Beauty,Personal Care,14891.97,Aarav Sharma,Hyderabad,Telangana,South,18039.52,14891.97,3147.55,17.45,2025,1,January,Q1,0,Returning Customer
O000049,2025-02-08,C07899,P0250,1,13369.44,0.2,No,Resistance Band 250,Sports,Fitness,9506.4,Arjun Mishra,Bhubaneswar,Odisha,East,10695.55,9506.4,1189.15,11.12,2025,2,February,Q1,0,Returning Customer
O000050,2025-05-05,C00547,P0300,2,12746.24,0.1,No,Water Bottle 300,Home & Kitchen,Kitchen & Home,10472.38,Simran Patel,Chandigarh,Chandigarh,North,22943.23,20944.76,1998.47,8.71,2025,5,May,Q2,0,Returning Customer
O000051,2025-03-18,C07398,P0022,1,14726.15,0.15,No,Sneakers 22,Fashion,Clothing,10300.16,Rohan Singh,Kanpur,Uttar Pradesh,North,12517.23,10300.16,2217.07,17.71,2025,3,March,Q1,0,Returning Customer
O000052,2025-04-10,C04121,P0038,1,11122.17,0.1,No,Leadership Skills 38,Books,Books,8940.83,Neha Rajput,Patna,Bihar,East,10009.95,8940.83,1069.12,10.68,2025,4,April,Q2,0,Returning Customer
O000053,2025-05-21,C05906,P0289,3,9994.13,0.15,No,Track Pants 289,Fashion,Clothing,8545.16,Aarav Verma,Bengaluru,Karnataka,South,25485.03,25635.48,-150.45,-0.59,2025,5,May,Q2,0,Returning Customer
O000054,2025-10-10,C02624,P0056,2,2449.88,0.25,No,Keyboard 56,Electronics,Gadgets,1791.04,Rahul Mishra,Ahmedabad,Gujarat,West,3674.82,3582.08,92.74,2.52,2025,10,October,Q4,0,Returning Customer
O000055,2025-12-13,C02417,P0245,2,3072.76,0.0,No,Dress 245,Fashion,Clothing,2484.2,Riya Kumar,Delhi,Delhi,North,6145.52,4968.4,1177.12,19.15,2025,12,December,Q4,0,Returning Customer
O000056,2025-08-13,C05324,P0016,2,14533.96,0.0,No,Dinner Set 16,Home & Kitchen,Kitchen & Home,11979.18,Neha Rajput,Chandigarh,Chandigarh,North,29067.92,23958.36,5109.56,17.58,2025,8,August,Q3,0,Returning Customer
O000057,2025-03-18,C02767,P0446,4,19589.73,0.2,No,Dinner Set 446,Home & Kitchen,Kitchen & Home,14454.99,Rahul Yadav,Hyderabad,Telangana,South,62687.14,57819.96,4867.18,7.76,2025,3,March,Q1,0,Returning Customer
O000058,2025-07-17,C00433,P0187,1,9100.08,0.15,No,Makeup Kit 187,Beauty,Personal Care,7492.1,Sahil Patel,Lucknow,Uttar Pradesh,North,7735.07,7492.1,242.97,3.14,2025,7,July,Q3,0,Returning Customer
O000059,2025-12-10,C05779,P0128,1,9382.14,0.1,No,Dinner Set 128,Home & Kitchen,Kitchen & Home,7384.31,Aditi Patel,Delhi,Delhi,North,8443.93,7384.31,1059.62,12.55,2025,12,December,Q4,0,New Customer
O000060,2025-06-24,C05306,P0416,2,17060.84,0.0,No,Air Fryer 416,Home & Kitchen,Kitchen & Home,11766.98,Rahul Singh,Bhubaneswar,Odisha,East,34121.68,23533.96,10587.72,31.03,2025,6,June,Q2,0,Returning Customer
O000061,2025-12-28,C06683,P0109,1,8309.1,0.0,No,Cricket Bat 109,Sports,Fitness,7170.91,Riya Agarwal,Pune,Maharashtra,West,8309.1,7170.91,1138.19,13.7,2025,12,December,Q4,0,Returning Customer
O000062,2025-10-03,C07984,P0394,2,8659.15,0.25,No,Smart Watch 394,Electronics,Gadgets,6477.16,Pooja Agarwal,Kanpur,Uttar Pradesh,North,12988.72,12954.32,34.4,0.26,2025,10,October,Q4,0,Returning Customer
O000063,2025-11-27,C03546,P0119,1,8689.71,0.15,No,Makeup Kit 119,Beauty,Personal Care,6820.28,Rohan Mishra,Kanpur,Uttar Pradesh,North,7386.25,6820.28,565.97,7.66,2025,11,November,Q4,0,Returning Customer
O000064,2025-11-04,C03141,P0296,1,16094.65,0.25,No,Tennis Ball 296,Sports,Fitness,12034.93,Simran Sharma,Bengaluru,Karnataka,South,12070.99,12034.93,36.06,0.3,2025,11,November,Q4,0,Returning Customer
O000065,2025-09-24,C00580,P0015,1,15325.83,0.25,No,Shampoo 15,Beauty,Personal Care,11758.19,Priya Gupta,Ahmedabad,Gujarat,West,11494.37,11758.19,-263.82,-2.3,2025,9,September,Q3,0,Returning Customer
O000066,2025-07-13,C06559,P0290,2,21246.93,0.05,Yes,Jeans 290,Fashion,Clothing,13860.81,Sahil Kumar,Kochi,Kerala,South,40369.17,27721.62,12647.55,31.33,2025,7,July,Q3,1,Returning Customer
O000067,2025-10-16,C06949,P0456,1,9459.84,0.25,No,Body Lotion 456,Beauty,Personal Care,7966.51,Aditi Sharma,Lucknow,Uttar Pradesh,North,7094.88,7966.51,-871.63,-12.29,2025,10,October,Q4,0,Returning Customer
O000068,2025-08-16,C01017,P0289,1,9994.13,0.1,No,Track Pants 289,Fashion,Clothing,8545.16,Aditi Agarwal,Jaipur,Rajasthan,North,8994.72,8545.16,449.56,5.0,2025,8,August,Q3,0,Returning Customer
O000069,2025-08-23,C06561,P0054,3,17562.76,0.0,No,TV Unit 54,Furniture,Home Furniture,13386.81,Pooja Kumar,Delhi,Delhi,North,52688.28,40160.43,12527.85,23.78,2025,8,August,Q3,0,New Customer
O000070,2025-02-04,C07574,P0013,4,4418.24,0.25,No,Face Serum 13,Beauty,Personal Care,2792.24,Aarav Mishra,Kanpur,Uttar Pradesh,North,13254.72,11168.96,2085.76,15.74,2025,2,February,Q1,0,Returning Customer
O000071,2025-04-17,C00634,P0029,2,11386.55,0.05,No,Electric Kettle 29,Home & Kitchen,Kitchen & Home,8656.08,Arjun Rajput,Bhubaneswar,Odisha,East,21634.44,17312.16,4322.28,19.98,2025,4,April,Q2,0,Returning Customer
O000072,2025-08-12,C00544,P0235,2,7444.12,0.05,No,Moisturizer 235,Beauty,Personal Care,5910.93,Neha Patel,Surat,Gujarat,West,14143.83,11821.86,2321.97,16.42,2025,8,August,Q3,0,Returning Customer
O000073,2025-02-07,C06266,P0094,2,11217.58,0.05,No,Office Chair 94,Furniture,Home Furniture,7299.13,Ananya Gupta,Kochi,Kerala,South,21313.4,14598.26,6715.14,31.51,2025,2,February,Q1,0,Returning Customer
O000074,2025-11-22,C03789,P0302,3,16386.98,0.0,No,Bluetooth Speaker 302,Electronics,Gadgets,13050.93,Isha Singh,Mumbai,Maharashtra,West,49160.94,39152.79,10008.15,20.36,2025,11,November,Q4,0,Returning Customer
O000075,2025-07-13,C02582,P0296,3,16094.65,0.2,No,Tennis Ball 296,Sports,Fitness,12034.93,Sahil Agarwal,Hyderabad,Telangana,South,38627.16,36104.79,2522.37,6.53,2025,7,July,Q3,0,Returning Customer
O000076,2025-06-22,C00041,P0436,1,2362.54,0.15,No,Shampoo 436,Beauty,Personal Care,1920.2,Pooja Kumar,Bhubaneswar,Odisha,East,2008.16,1920.2,87.96,4.38,2025,6,June,Q2,0,Returning Customer
O000077,2025-08-02,C02840,P0471,1,5308.44,0.0,No,Vacuum Cleaner 471,Home & Kitchen,Kitchen & Home,3617.52,Neha Verma,Kochi,Kerala,South,5308.44,3617.52,1690.92,31.85,2025,8,August,Q3,0,Returning Customer
O000078,2025-03-16,C02064,P0453,2,20727.68,0.25,No,Kitchen Scale 453,Home & Kitchen,Kitchen & Home,14467.31,Rahul Mishra,Hyderabad,Telangana,South,31091.52,28934.62,2156.9,6.94,2025,3,March,Q1,0,Returning Customer
O000079,2025-08-21,C04584,P0094,3,11217.58,0.1,No,Office Chair 94,Furniture,Home Furniture,7299.13,Rohan Singh,Chennai,Tamil Nadu,South,30287.47,21897.39,8390.08,27.7,2025,8,August,Q3,0,Returning Customer
O000080,2025-09-09,C09170,P0166,2,19944.11,0.2,No,T-Shirt 166,Fashion,Clothing,13703.09,Simran Singh,Chandigarh,Chandigarh,North,31910.58,27406.18,4504.4,14.12,2025,9,September,Q3,0,Returning Customer
O000081,2025-10-08,C02729,P0457,4,4827.34,0.0,No,Finance Basics 457,Books,Books,3597.01,Sahil Rajput,Kanpur,Uttar Pradesh,North,19309.36,14388.04,4921.32,25.49,2025,10,October,Q4,0,Returning Customer
O000082,2025-12-21,C02470,P0082,2,11815.11,0.25,No,SQL Complete Guide 82,Books,Books,10264.75,Aarav Rajput,Pune,Maharashtra,West,17722.66,20529.5,-2806.83,-15.84,2025,12,December,Q4,0,Returning Customer
O000083,2025-02-10,C00423,P0492,5,3271.17,0.05,No,Machine Learning Guide 492,Books,Books,2170.75,Rahul Gupta,Ahmedabad,Gujarat,West,15538.06,10853.75,4684.31,30.15,2025,2,February,Q1,0,Returning Customer
O000084,2025-01-28,C09453,P0284,4,3280.06,0.1,No,Dining Chair 284,Furniture,Home Furniture,2520.08,Rohan Patel,Chennai,Tamil Nadu,South,11808.22,10080.32,1727.9,14.63,2025,1,January,Q1,0,Returning Customer
O000085,2025-09-15,C06867,P0188,2,14941.63,0.05,No,Python Programming 188,Books,Books,11073.67,Rohan Agarwal,Ahmedabad,Gujarat,West,28389.1,22147.34,6241.76,21.99,2025,9,September,Q3,0,Returning Customer
O000086,2025-07-29,C04436,P0252,1,9761.35,0.2,No,Yoga Mat 252,Sports,Fitness,6292.51,Aditya Singh,Jaipur,Rajasthan,North,7809.08,6292.51,1516.57,19.42,2025,7,July,Q3,0,Returning Customer
O000087,2025-08-07,C00319,P0332,3,13518.82,0.1,No,Air Fryer 332,Home & Kitchen,Kitchen & Home,9205.19,Rohan Rajput,Chandigarh,Chandigarh,North,36500.81,27615.57,8885.24,24.34,2025,8,August,Q3,0,Returning Customer
O000088,2025-06-25,C04212,P0470,1,2731.47,0.15,No,Shampoo 470,Beauty,Personal Care,2109.23,Kavya Kumar,Hyderabad,Telangana,South,2321.75,2109.23,212.52,9.15,2025,6,June,Q2,0,Returning Customer
O000089,2025-12-22,C09014,P0239,1,13735.78,0.15,No,Smart Watch 239,Electronics,Gadgets,9490.12,Arjun Agarwal,Patna,Bihar,East,11675.41,9490.12,2185.29,18.72,2025,12,December,Q4,0,Returning Customer
O000090,2025-01-08,C08788,P0134,1,3674.71,0.25,No,Monitor 134,Electronics,Gadgets,2490.11,Arjun Sharma,Bengaluru,Karnataka,South,2756.03,2490.11,265.92,9.65,2025,1,January,Q1,0,Returning Customer
O000091,2025-06-12,C04467,P0214,1,14175.18,0.15,No,SQL Complete Guide 214,Books,Books,10992.54,Aarav Rajput,Bengaluru,Karnataka,South,12048.9,10992.54,1056.36,8.77,2025,6,June,Q2,0,Returning Customer
O000092,2025-02-14,C00867,P0223,1,3310.47,0.2,No,Coffee Maker 223,Home & Kitchen,Kitchen & Home,2145.06,Sahil Patel,Pune,Maharashtra,West,2648.38,2145.06,503.32,19.0,2025,2,February,Q1,0,Returning Customer
O000093,2025-03-20,C09940,P0233,2,9090.5,0.05,No,Dumbbells 233,Sports,Fitness,7612.38,Aman Patel,Kanpur,Uttar Pradesh,North,17271.95,15224.76,2047.19,11.85,2025,3,March,Q1,0,Returning Customer
O000094,2025-11-03,C01005,P0408,1,2687.66,0.05,No,Dumbbells 408,Sports,Fitness,2215.95,Simran Singh,Delhi,Delhi,North,2553.28,2215.95,337.33,13.21,2025,11,November,Q4,0,Returning Customer
O000095,2025-11-26,C01167,P0363,3,7027.25,0.1,No,Office Chair 363,Furniture,Home Furniture,4804.53,Kavya Gupta,Lucknow,Uttar Pradesh,North,18973.58,14413.59,4559.99,24.03,2025,11,November,Q4,0,Returning Customer
O000096,2025-06-24,C00440,P0001,1,7612.3,0.15,No,Cookware Set 1,Home & Kitchen,Kitchen & Home,5929.42,Pooja Singh,Bengaluru,Karnataka,South,6470.46,5929.42,541.03,8.36,2025,6,June,Q2,0,Returning Customer
O000097,2025-08-06,C08454,P0483,1,6653.56,0.15,No,Skipping Rope 483,Sports,Fitness,4494.22,Ananya Kumar,Lucknow,Uttar Pradesh,North,5655.53,4494.22,1161.31,20.53,2025,8,August,Q3,0,Returning Customer
O000098,2025-09-21,C06518,P0278,1,13287.97,0.05,No,Hoodie 278,Fashion,Clothing,9303.3,Aditi Singh,Ahmedabad,Gujarat,West,12623.57,9303.3,3320.27,26.3,2025,9,September,Q3,0,Returning Customer
O000099,2025-06-06,C06577,P0194,5,6380.09,0.2,No,SQL Complete Guide 194,Books,Books,5148.73,Riya Mishra,Lucknow,Uttar Pradesh,North,25520.36,25743.65,-223.29,-0.87,2025,6,June,Q2,0,Returning Customer
O000100,2025-08-27,C01051,P0074,2,17873.88,0.05,No,Perfume 74,Beauty,Personal Care,14827.67,Aarav Patel,Delhi,Delhi,North,33960.37,29655.34,4305.03,12.68,2025,8,August,Q3,0,Returning Customer
O000101,2025-05-15,C02855,P0390,1,18079.48,0.25,No,Kitchen Scale 390,Home & Kitchen,Kitchen & Home,12539.51,Ananya Patel,Mumbai,Maharashtra,West,13559.61,12539.51,1020.1,7.52,2025,5,May,Q2,0,Returning Customer
O000102,2025-12-18,C06113,P0345,1,12335.95,0.15,No,Wardrobe 345,Furniture,Home Furniture,8945.94,Sneha Rajput,Kolkata,West Bengal,East,10485.56,8945.94,1539.62,14.68,2025,12,December,Q4,0,Returning Customer
O000103,2025-11-06,C01389,P0296,1,16094.65,0.2,No,Tennis Ball 296,Sports,Fitness,12034.93,Ananya Agarwal,Pune,Maharashtra,West,12875.72,12034.93,840.79,6.53,2025,11,November,Q4,0,Returning Customer
O000104,2025-01-11,C04288,P0285,2,11223.2,0.0,Yes,Sunscreen 285,Beauty,Personal Care,9551.18,Priya Patel,Chennai,Tamil Nadu,South,22446.4,19102.36,3344.04,14.9,2025,1,January,Q1,1,Returning Customer
O000105,2025-01-01,C01942,P0242,2,8897.58,0.25,No,Wireless Mouse 242,Electronics,Gadgets,7291.68,Priya Kumar,Kanpur,Uttar Pradesh,North,13346.37,14583.36,-1236.99,-9.27,2025,1,January,Q1,0,Returning Customer
O000106,2025-02-22,C07961,P0447,1,10287.3,0.0,No,Vacuum Cleaner 447,Home & Kitchen,Kitchen & Home,6500.31,Arjun Yadav,Kanpur,Uttar Pradesh,North,10287.3,6500.31,3786.99,36.81,2025,2,February,Q1,0,Returning Customer
O000107,2025-01-29,C01696,P0371,1,16777.98,0.1,No,Bedside Table 371,Furniture,Home Furniture,12717.8,Neha Verma,Delhi,Delhi,North,15100.18,12717.8,2382.38,15.78,2025,1,January,Q1,0,Returning Customer
O000108,2025-08-06,C03705,P0116,5,1584.01,0.2,No,Study Table 116,Furniture,Home Furniture,1022.19,Ananya Verma,Lucknow,Uttar Pradesh,North,6336.04,5110.95,1225.09,19.34,2025,8,August,Q3,0,Returning Customer
O000109,2025-07-14,C07253,P0306,1,20789.39,0.05,No,Study Table 306,Furniture,Home Furniture,13817.28,Simran Verma,Lucknow,Uttar Pradesh,North,19749.92,13817.28,5932.64,30.04,2025,7,July,Q3,0,Returning Customer
O000110,2025-02-12,C04812,P0212,2,1566.7,0.1,Yes,Body Lotion 212,Beauty,Personal Care,1315.44,Rohan Rajput,Chennai,Tamil Nadu,South,2820.06,2630.88,189.18,6.71,2025,2,February,Q1,1,Returning Customer
O000111,2025-10-20,C01501,P0018,4,14465.72,0.0,No,Monitor 18,Electronics,Gadgets,10676.02,Aditya Kumar,Mumbai,Maharashtra,West,57862.88,42704.08,15158.8,26.2,2025,10,October,Q4,0,Returning Customer
O000112,2025-02-24,C00836,P0418,1,16498.59,0.25,No,Hoodie 418,Fashion,Clothing,11868.23,Priya Sharma,Surat,Gujarat,West,12373.94,11868.23,505.71,4.09,2025,2,February,Q1,0,Returning Customer
O000113,2025-07-10,C02894,P0007,1,12217.49,0.1,No,Finance Basics 7,Books,Books,9748.56,Karan Agarwal,Chandigarh,Chandigarh,North,10995.74,9748.56,1247.18,11.34,2025,7,July,Q3,0,Returning Customer
O000114,2025-03-25,C09263,P0243,2,18295.52,0.25,No,Shampoo 243,Beauty,Personal Care,12397.01,Sneha Verma,Ahmedabad,Gujarat,West,27443.28,24794.02,2649.26,9.65,2025,3,March,Q1,0,Returning Customer
O000115,2025-02-11,C02878,P0017,1,13574.72,0.25,No,USB Cable 17,Electronics,Gadgets,8656.52,Rohan Singh,Bengaluru,Karnataka,South,10181.04,8656.52,1524.52,14.97,2025,2,February,Q1,0,Returning Customer
